Mar. 8, 2023   19:15:32
Square Wave Voltammetry
File: c:\users\lukas\onedrive\documents\wearables\chi swv analysis\test swv\pbp5.csv
Data Source:  Experiment
Instrument Model:  CHI840D
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.4
Incr E (V) = 0.004
Amplitude (V) = 0.025
Frequency (Hz) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Difference:
Forward:

Reverse:

Potential/V, Diff(i/A), For(i/A), Rev(i/A)
-0.352, -1.217e-5, -8.014e-6, 4.157e-6
-0.356, -1.221e-5, -8.057e-6, 4.150e-6
-0.360, -1.225e-5, -8.104e-6, 4.143e-6
-0.364, -1.229e-5, -8.150e-6, 4.135e-6
-0.368, -1.233e-5, -8.202e-6, 4.125e-6
-0.372, -1.237e-5, -8.254e-6, 4.116e-6
-0.376, -1.241e-5, -8.311e-6, 4.103e-6
-0.380, -1.246e-5, -8.368e-6, 4.089e-6
-0.384, -1.250e-5, -8.429e-6, 4.073e-6
-0.388, -1.256e-5, -8.497e-6, 4.059e-6
-0.392, -1.261e-5, -8.565e-6, 4.041e-6
-0.396, -1.266e-5, -8.634e-6, 4.021e-6
-0.400, -1.271e-5, -8.710e-6, 4.000e-6
