Apr. 4, 2023   10:59:47
Square Wave Voltammetry
File: c:\users\lukas\onedrive\documents\wearables\chi swv analysis\test swv\pbp7.csv
Data Source:  Experiment
Instrument Model:  CHI840D
Header: 
Note: 

Init E (V) = 0
Final E (V) = -0.5
Incr E (V) = 0.004
Amplitude (V) = 0.05
Frequency (Hz) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Difference:
Forward:
Reverse:

Potential/V, Diff(i/A), For(i/A), Rev(i/A)
-0.212, -2.652e-5, -1.493e-5, 1.159e-5
-0.216, -2.642e-5, -1.487e-5, 1.155e-5
-0.220, -2.631e-5, -1.482e-5, 1.150e-5
-0.224, -2.620e-5, -1.476e-5, 1.144e-5
-0.228, -2.609e-5, -1.470e-5, 1.139e-5
-0.232, -2.597e-5, -1.464e-5, 1.133e-5
-0.236, -2.585e-5, -1.458e-5, 1.127e-5
-0.240, -2.573e-5, -1.453e-5, 1.121e-5
-0.244, -2.562e-5, -1.447e-5, 1.114e-5
-0.248, -2.551e-5, -1.442e-5, 1.108e-5
-0.252, -2.539e-5, -1.438e-5, 1.102e-5
-0.256, -2.529e-5, -1.433e-5, 1.096e-5
-0.260, -2.519e-5, -1.429e-5, 1.090e-5
-0.264, -2.510e-5, -1.425e-5, 1.085e-5
-0.268, -2.501e-5, -1.422e-5, 1.080e-5
-0.272, -2.494e-5, -1.419e-5, 1.075e-5
-0.276, -2.487e-5, -1.417e-5, 1.070e-5
-0.280, -2.481e-5, -1.415e-5, 1.066e-5
-0.284, -2.475e-5, -1.414e-5, 1.061e-5
-0.288, -2.470e-5, -1.413e-5, 1.058e-5
-0.292, -2.467e-5, -1.413e-5, 1.054e-5
-0.296, -2.463e-5, -1.413e-5, 1.051e-5
-0.300, -2.461e-5, -1.414e-5, 1.047e-5
-0.304, -2.459e-5, -1.415e-5, 1.044e-5
-0.308, -2.458e-5, -1.417e-5, 1.041e-5
-0.312, -2.458e-5, -1.419e-5, 1.039e-5
-0.316, -2.459e-5, -1.422e-5, 1.036e-5
-0.320, -2.459e-5, -1.425e-5, 1.034e-5
-0.324, -2.461e-5, -1.430e-5, 1.032e-5
-0.328, -2.464e-5, -1.434e-5, 1.030e-5
-0.332, -2.467e-5, -1.439e-5, 1.027e-5
-0.336, -2.470e-5, -1.444e-5, 1.025e-5
-0.340, -2.474e-5, -1.451e-5, 1.023e-5
-0.344, -2.479e-5, -1.458e-5, 1.022e-5
-0.348, -2.485e-5, -1.465e-5, 1.019e-5
-0.352, -2.490e-5, -1.473e-5, 1.017e-5
-0.356, -2.496e-5, -1.482e-5, 1.015e-5
-0.360, -2.504e-5, -1.491e-5, 1.013e-5
-0.364, -2.511e-5, -1.501e-5, 1.011e-5
-0.368, -2.519e-5, -1.511e-5, 1.008e-5
-0.372, -2.527e-5, -1.522e-5, 1.005e-5
-0.376, -2.537e-5, -1.534e-5, 1.003e-5
-0.380, -2.546e-5, -1.546e-5, 1.000e-5
-0.384, -2.556e-5, -1.559e-5, 9.971e-6
-0.388, -2.567e-5, -1.573e-5, 9.936e-6
-0.392, -2.578e-5, -1.588e-5, 9.901e-6
-0.396, -2.589e-5, -1.603e-5, 9.864e-6
-0.400, -2.601e-5, -1.618e-5, 9.825e-6
-0.404, -2.613e-5, -1.635e-5, 9.779e-6
-0.408, -2.625e-5, -1.652e-5, 9.732e-6
-0.412, -2.638e-5, -1.670e-5, 9.681e-6
-0.416, -2.652e-5, -1.689e-5, 9.628e-6
-0.420, -2.665e-5, -1.708e-5, 9.568e-6
-0.424, -2.679e-5, -1.728e-5, 9.508e-6
-0.428, -2.694e-5, -1.750e-5, 9.442e-6
-0.432, -2.708e-5, -1.771e-5, 9.371e-6
-0.436, -2.723e-5, -1.794e-5, 9.295e-6
-0.440, -2.738e-5, -1.817e-5, 9.217e-6
-0.444, -2.754e-5, -1.841e-5, 9.132e-6
-0.448, -2.769e-5, -1.865e-5, 9.043e-6
-0.452, -2.785e-5, -1.890e-5, 8.949e-6
-0.456, -2.801e-5, -1.916e-5, 8.844e-6
-0.460, -2.816e-5, -1.943e-5, 8.739e-6
-0.464, -2.833e-5, -1.970e-5, 8.633e-6
-0.468, -2.850e-5, -1.998e-5, 8.515e-6
-0.472, -2.866e-5, -2.027e-5, 8.393e-6
-0.476, -2.882e-5, -2.056e-5, 8.266e-6
-0.480, -2.898e-5, -2.085e-5, 8.134e-6
-0.484, -2.915e-5, -2.115e-5, 7.995e-6
-0.488, -2.931e-5, -2.146e-5, 7.850e-6
-0.492, -2.947e-5, -2.177e-5, 7.702e-6
-0.496, -2.963e-5, -2.208e-5, 7.546e-6
-0.500, -2.979e-5, -2.240e-5, 7.387e-6
